内容编号	英文内容
1.1.1.1 	Trade
1.1.1.2 	Rewards
1.1.1.3 	Broker
1.1.1.4 	Data
1.1.1.5 	Click To Login
1.1.1.6 	Click to connect your wallet
1.1.1.7	Connect Wallet
1.1.1.8	Home
1.1.1.9	Wallet Address
1.2.1.1 	Connect Wallet
1.2.1.2 	Choose Network
1.2.1.3 	Choose Wallet
1.2.1.4 	No wallet detected, please install Metamask first.
1.2.1.5 	Your wallet network does not match the network you choose. Please switch to {0} Testnet of Ethereum and retry.
1.3.1.1	Wallet Address
1.3.1.2	Margin Account
1.3.1.3	Account Balance
1.3.1.4	Balance History
1.3.1.5	Margin Balance
1.3.1.6	Margin
1.3.1.7	Deposit
1.3.1.8	Withdraw
1.3.1.9	Disconnect
1.3.2.1	Transfers
1.3.2.2	From
1.3.2.3	To
1.3.2.4	My Wallet
1.3.2.5	Margin Account
1.3.2.6	Size
1.3.2.7	Error, please retry
1.3.2.8	Max
1.3.2.9	All
1.3.2.10	Deposit
1.3.2.11	Withdraw
1.3.2.12	Pending ……
1.3.2.13	Successful
1.3.2.14	Error, please retry.
1.3.3.1	Balance History
1.3.3.2	Type
1.3.3.3	Amount
1.3.3.4	Balance
1.3.3.5	Time
1.3.3.6	Gas
1.3.3.7	Trad. Fee
1.3.3.8	PnL
1.3.3.9	Loss
1.3.3.10	Realized PnL
1.3.3.11	PCF
1.3.3.12	Liq. Cost
1.3.3.13	Compensation
1.3.3.14	Sys. Loss
1.3.3.15	Withdraw
1.3.3.16	Deposit
1.3.3.17	No more info
1.4.1.1	Bind Your Broker Privilege
1.4.1.2	Broker Code
1.4.1.3	No Broker Code
1.4.1.4	The Broker Code you submit does not exist
1.4.1.5	Submit
1.4.1.6	Select Or Input Broker Code
1.4.2.1	Choose Broker
1.4.2.2	Have Broker Code
1.4.2.3	No more info.
1.4.2.4	Submit
1.5.1.1	Market
1.5.2.1	PCF Rate
1.5.2.2	PM APY
1.5.2.3	Long
1.5.2.4	Short
1.5.3.1	PCF Rate
1.5.3.1.1	Transactions that increase system risk have to reward transactions that decrease system risk. Positive rate means PCF payment is required for opening long/closing short, and opening short/closing long gets the PCF reward, vice versa. Detailed rules click here.
1.5.3.2	Position Mining APY
1.5.3.2.1	The higher the leverage of positions, the higher the APY of position mining will be. Mining rules click here.
1.5.4.1	Market
1.5.4.2	Limit
1.5.4.3	Price
1.5.4.4	Market Price
1.5.4.5	Error, please retry
1.5.4.6	Amount
1.5.4.7	Max
1.5.4.8	Transfer
1.5.4.9	Buy / Long
1.5.4.10	Sell / Short
1.5.4.11	Two Way
1.5.4.12	You can only place Two-way positions via market order
1.5.5.1	Confirm
1.5.5.2	Price
1.5.5.3	Market
1.5.5.4	Type
1.5.5.5	Long
1.5.5.6	Short
1.5.5.7	Two-Way
1.5.5.8	Amount
1.5.5.9	PCF（Estimate）
1.5.5.10	Trad. Fee
1.5.5.11	Cancel
1.5.5.12	Confirm
1.5.5.13	Pending ……
1.5.5.14	Successful
1.5.5.15	Error, please retry.
1.5.5.16	Liquidity limit reached, maximum order
1.6.1.1	My Position
1.6.1.2	L
1.6.1.3	S
1.6.1.4	Unrealized PnL
1.6.1.5	Position Held
1.6.1.6	Current Price
1.6.1.7	Average Price
1.6.1.8	SL
1.6.1.9	TP
1.6.1.10	Margin
1.6.1.11	Risk
1.6.1.12	Liq. Price
1.6.1.13	Set TP / SL
1.6.1.14	Close
1.6.1.15	No more info
1.6.1.16	One-Click Close
1.6.2.1	Unrealized PnL
1.6.2.1.1	Unrealized P&L of Long Position = (Current Derivative Price – Average Position Price) * Position Held
1.6.2.1.2	Unrealized P&L of Short Position = (Average Position Price - Current Derivative Price) * Position Held
1.6.2.2	Position Held
1.6.2.2.1	Position Held in this Derivative
1.6.2.3	Current Price
1.6.2.3.1	Current Derivative Price of the Platform
1.6.2.4	Average Price
1.6.2.4.1	Average Opening Price for this Position
1.6.2.5	Position Margin
1.6.2.5.1	Used Position Margin = Position Held/Leverage
1.6.2.6	Risk
1.6.2.6.1	Risk increases as the margin rate decreases. When the margin rate is smaller than the maintenance margin 3%, the auto deleveraging will be triggered. Detailed rules click here>>
1.6.2.7	Liquidation Price
1.6.2.7.1	This price is the expected mandatory liquidation price. If the derivative price is lower than this price (long position) or higher than this price (short position), your position may be liquidated automatically. Know more>>
1.6.2.8	Stop Loss Setting
1.6.2.8.1	When the SL price is reached, system will be automatically close your position to prevent further loss.
1.6.2.9	Take Profit Setting
1.6.2.9.1	When the TP price is reached, system will be automatically close your position to realize your current profit.
1.6.3.1	Set TP / SL
1.6.3.2	Average Price
1.6.3.3	Current Price
1.6.3.4	Take Profit
1.6.3.5	When Market Price reaches {0}, it will trigger Take Profit Market order to close this position, Estimated profit will be {1} USDT.
