编号	页面映射键
1.1.1.1 	Trade.navbar.-.Trade
1.1.1.2 	Trade.navbar.-.Rewards
1.1.1.3 	Trade.navbar.-.Broker
1.1.1.4 	Trade.navbar.-.Data
1.1.1.5 	Trade.navbar.-.ClickToLogin
1.1.1.6 	Trade.navbar.-.ClickToConnectYourWallet
1.1.1.7	Trade.navbar.-.ConnectWallet
1.1.1.8	Trade.navbar.-.Home
1.1.1.9	Trade.navbar.-.WalletAddress
1.2.1.1 	Trade.Wallet.-.ConnectWallet
1.2.1.2 	Trade.Wallet.-.ChooseNetwork
1.2.1.3 	Trade.Wallet.-.ChooseWallet
1.2.1.4 	Trade.Wallet.-.NoWalletErrorMsg
1.2.1.5 	Trade.Wallet.-.MainChainUnmatch
1.3.1.1	Trade.Account.MarginAccount.WalletAddress
1.3.1.2	Trade.Account.MarginAccount.MarginAccount
1.3.1.3	Trade.Account.MarginAccount.AccountBalance
1.3.1.4	Trade.Account.MarginAccount.BalanceHistory
1.3.1.5	Trade.Account.MarginAccount.MarginBalance
1.3.1.6	Trade.Account.MarginAccount.Margin
1.3.1.7	Trade.Account.MarginAccount.Deposit
1.3.1.8	Trade.Account.MarginAccount.Withdraw
1.3.1.9	Trade.Wallet.-.Disconnect
1.3.2.1	Trade.Account.Transfer.Transfers
1.3.2.2	Trade.Account.Transfer.From
1.3.2.3	Trade.Account.Transfer.To
1.3.2.4	Trade.Account.Transfer.MyWallet
1.3.2.5	Trade.Account.Transfer.MarginAccount
1.3.2.6	Trade.Account.Transfer.Size
1.3.2.7	Trade.Account.Transfer.NumberError
1.3.2.8	Trade.Account.Transfer.Max
1.3.2.9	Trade.Account.Transfer.All
1.3.2.10	Trade.Account.Transfer.Deposit
1.3.2.11	Trade.Account.Transfer.Withdraw
1.3.2.12	Trade.Account.Transfer.TradePendingMsg
1.3.2.13	Trade.Account.Transfer.TradeSuccessMsg
1.3.2.14	Trade.Account.Transfer.TradeFailedMsg
1.3.3.1	Trade.Account.FinanceDetail.BalanceHistory
1.3.3.2	Trade.Account.FinanceDetail.Type
1.3.3.3	Trade.Account.FinanceDetail.Amount
1.3.3.4	Trade.Account.FinanceDetail.Balance
1.3.3.5	Trade.Account.FinanceDetail.Time
1.3.3.6	Trade.Account.FinanceDetail.Gas
1.3.3.7	Trade.Account.FinanceDetail.TradFee
1.3.3.8	Trade.Account.FinanceDetail.Profit
1.3.3.9	Trade.Account.FinanceDetail.Loss
1.3.3.10	Trade.Account.FinanceDetail.RealizedPnL
1.3.3.11	Trade.Account.FinanceDetail.PCF
1.3.3.12	Trade.Account.FinanceDetail.LiqCost
1.3.3.13	Trade.Account.FinanceDetail.Compensation
1.3.3.14	Trade.Account.FinanceDetail.SysLoss
1.3.3.15	Trade.Account.FinanceDetail.Withdraw
1.3.3.16	Trade.Account.FinanceDetail.Deposit
1.3.3.17	Trade.Account.FinanceDetail.NoMoreInfo
1.4.1.1	Trade.BrokerBind.BrokerCodes.BindBrokerPrivilege
1.4.1.2	Trade.BrokerBind.BrokerCodes.BrokerCode
1.4.1.3	Trade.BrokerBind.BrokerCodes.NoBrokerCode
1.4.1.4	Trade.BrokerBind.BrokerCodes.BrokerCodeNoExistError
1.4.1.5	Trade.BrokerBind.BrokerCodes.Submit
1.4.2.1	Trade.BrokerBind.BrokerBind.ChooseBroker
1.4.2.2	Trade.BrokerBind.BrokerBind.HaveBrokerCode
1.4.2.3	Trade.BrokerBind.BrokerBind.NoMoreInfo
1.4.2.4	Trade.BrokerBind.BrokerBind.Submit
1.5.1.1	Trade.OpenPosition.Market.Market
1.5.2.1	Trade.OpenPosition.Kline.PCFRate
1.5.2.2	Trade.OpenPosition.Kline.PMAPY
1.5.2.3	Trade.OpenPosition.Kline.Long
1.5.2.4	Trade.OpenPosition.Kline.Short
1.5.3.1	Trade.OpenPosition.Hint.PCFRate
1.5.3.1.1	Trade.OpenPosition.Hint.PCFRateDetail
1.5.3.2	Trade.OpenPosition.Hint.PositionMiningAPY
1.5.3.2.1	Trade.OpenPosition.Hint.PositionMiningAPYDetail
1.5.4.1	Trade.OpenPosition.OpenPage.Market
1.5.4.2	Trade.OpenPosition.OpenPage.Limit
1.5.4.3	Trade.OpenPosition.OpenPage.Price
1.5.4.4	Trade.OpenPosition.OpenPage.MarketPrice
1.5.4.5	Trade.OpenPosition.OpenPage.NumberError
1.5.4.6	Trade.OpenPosition.OpenPage.Amount
1.5.4.7	Trade.OpenPosition.OpenPage.Max
1.5.4.8	Trade.OpenPosition.OpenPage.Transfer
1.5.4.9	Trade.OpenPosition.OpenPage.BuyLong
1.5.4.10	Trade.OpenPosition.OpenPage.SellShort
1.5.4.11	Trade.OpenPosition.OpenPage.TwoWay
1.5.4.12	Trade.OpenPosition.OpenPage.TwoWayOpenPriceTypeError
1.5.5.1	Trade.OpenPosition.OpenPopup.OpenConfirm
1.5.5.2	Trade.OpenPosition.OpenPopup.Price
1.5.5.3	Trade.OpenPosition.OpenPopup.Market
1.5.5.4	Trade.OpenPosition.OpenPopup.Type
1.5.5.5	Trade.OpenPosition.OpenPopup.Long
1.5.5.6	Trade.OpenPosition.OpenPopup.Short
1.5.5.7	Trade.OpenPosition.OpenPopup.TwoWay
1.5.5.8	Trade.OpenPosition.OpenPopup.Amount
1.5.5.9	Trade.OpenPosition.OpenPopup.PCF
1.5.5.10	Trade.OpenPosition.OpenPopup.TradFee
1.5.5.11	Trade.OpenPosition.OpenPopup.Cancel
1.5.5.12	Trade.OpenPosition.OpenPopup.Confirm
1.5.5.13	Trade.OpenPosition.OpenPopup.TradePendingMsg
1.5.5.14	Trade.OpenPosition.OpenPopup.TradeSuccessMsg
1.5.5.15	Trade.OpenPosition.OpenPopup.TradeFailedMsg
1.5.5.16	Trade.OpenPosition.OpenPopup.LiqLimitMsg
1.6.1.1	Trade.MyPosition.List.MyPosition
1.6.1.2	Trade.MyPosition.List.Long
1.6.1.3	Trade.MyPosition.List.Short
1.6.1.4	Trade.MyPosition.List.UnrealizedPnL
1.6.1.5	Trade.MyPosition.List.PositionHeld
1.6.1.6	Trade.MyPosition.List.CurrentPrice
1.6.1.7	Trade.MyPosition.List.AveragePrice
1.6.1.8	Trade.MyPosition.List.StopLoss
1.6.1.9	Trade.MyPosition.List.TP
1.6.1.10	Trade.MyPosition.List.Margin
1.6.1.11	Trade.MyPosition.List.Risk
1.6.1.12	Trade.MyPosition.List.LiqPrice
1.6.1.13	Trade.MyPosition.List.SetTPSL
1.6.1.14	Trade.MyPosition.List.Close
1.6.1.15	Trade.MyPosition.List.NoMoreInfo
1.6.1.16	Trade.MyPosition.List.OneClickClose
1.6.2.1	Trade.MyPosition.Hint.UnrealizedPnL
1.6.2.1.1	Trade.MyPosition.Hint.UnrealizedPnLDetail1
1.6.2.1.2	Trade.MyPosition.Hint.UnrealizedPnLDetail2
1.6.2.2	Trade.MyPosition.Hint.PositionHeld
1.6.2.2.1	Trade.MyPosition.Hint.PositionHeldDetail
1.6.2.3	Trade.MyPosition.Hint.CurrentPrice
1.6.2.3.1	Trade.MyPosition.Hint.CurrentPriceDetail
1.6.2.4	Trade.MyPosition.Hint.AveragePrice
1.6.2.4.1	Trade.MyPosition.Hint.AveragePriceDetail
1.6.2.5	Trade.MyPosition.Hint.PositionMargin
1.6.2.5.1	Trade.MyPosition.Hint.PositionMarginDetail
1.6.2.6	Trade.MyPosition.Hint.Risk
1.6.2.6.1	Trade.MyPosition.Hint.RiskDetail
1.6.2.7	Trade.MyPosition.Hint.LiquidationPrice
1.6.2.7.1	Trade.MyPosition.Hint.LiquidationPriceDetail
1.6.2.8	Trade.MyPosition.Hint.StopLossSetting
1.6.2.8.1	Trade.MyPosition.Hint.StopLossSettingDetail
1.6.2.9	Trade.MyPosition.Hint.TakeProfitSetting
1.6.2.9.1	Trade.MyPosition.Hint.TakeProfitSettingDetail
1.6.3.1	Trade.MyPosition.SetStopPricePopup.SetTPSL
1.6.3.2	Trade.MyPosition.SetStopPricePopup.AveragePrice
1.6.3.3	Trade.MyPosition.SetStopPricePopup.CurrentPrice
1.6.3.4	Trade.MyPosition.SetStopPricePopup.TakeProfit
1.6.3.5	Trade.MyPosition.SetStopPricePopup.StopPriceProfitNotice
1.6.3.6	Trade.MyPosition.SetStopPricePopup.StopLoss
1.6.3.7	Trade.MyPosition.SetStopPricePopup.StopPriceLossNotice
1.6.3.8	Trade.MyPosition.SetStopPricePopup.NumberError
1.6.3.9	Trade.MyPosition.SetStopPricePopup.Cancel
1.6.3.10	Trade.MyPosition.SetStopPricePopup.Confirm
1.6.3.11	Trade.MyPosition.SetStopPricePopup.TradePendingMsg
1.6.3.12	Trade.MyPosition.SetStopPricePopup.TradeSuccessMsg
1.6.3.13	Trade.MyPosition.SetStopPricePopup.TradeFailedMsg
1.6.4.1	Trade.MyPosition.ClosePositionPopup.Close
1.6.4.2	Trade.MyPosition.ClosePositionPopup.PositionHeld
1.6.4.3	Trade.MyPosition.ClosePositionPopup.AveragePrice
1.6.4.4	Trade.MyPosition.ClosePositionPopup.CurrentPrice
1.6.4.5	Trade.MyPosition.ClosePositionPopup.Amount
1.6.4.6	Trade.MyPosition.ClosePositionPopup.NumberError
1.6.4.7	Trade.MyPosition.ClosePositionPopup.Cancel
1.6.4.8	Trade.MyPosition.ClosePositionPopup.Confirm
1.6.4.9	Trade.MyPosition.ClosePositionPopup.OneClickClose
1.6.4.10	Trade.MyPosition.ClosePositionPopup.ClosePositionPopupInfo
1.6.4.11	Trade.MyPosition.ClosePositionPopup.TradePendingMsg
1.6.4.12	Trade.MyPosition.ClosePositionPopup.TradeSuccessMsg
1.6.4.13	Trade.MyPosition.ClosePositionPopup.TradeFailedMsg
1.7.1.1	Trade.CurrentOrder.List.CurrentOrder
1.7.1.2	Trade.CurrentOrder.List.L
1.7.1.3	Trade.CurrentOrder.List.S
1.7.1.4	Trade.CurrentOrder.List.Price
1.7.1.5	Trade.CurrentOrder.List.Type
1.7.1.6	Trade.CurrentOrder.List.Volume
1.7.1.7	Trade.CurrentOrder.List.OpenLimit
1.7.1.8	Trade.CurrentOrder.List.CloseTP
1.7.1.9	Trade.CurrentOrder.List.CloseSL
1.7.1.10	Trade.CurrentOrder.List.Time
1.7.1.11	Trade.CurrentOrder.List.Cancel
1.7.1.12	Trade.CurrentOrder.List.CancelAll
1.7.1.13	Trade.CurrentOrder.List.NoMoreInfo
1.7.2.1	Trade.CurrentOrder.Hint.OrderPrice
1.7.2.1.1	Trade.CurrentOrder.Hint.OrderPriceDetail
1.7.2.2	Trade.CurrentOrder.Hint.OrderVolume
1.7.2.2.1	Trade.CurrentOrder.Hint.OrderVolumeDetail
1.7.2.3	Trade.CurrentOrder.Hint.OrderTime
1.7.2.3.1	Trade.CurrentOrder.Hint.OrderTimeDetail
1.7.3.1	Trade.CurrentOrder.CancelOrderPopup.CancelOneOrder
1.7.3.2	Trade.CurrentOrder.CancelOrderPopup.CancelOneOrderInfo
